issn|area|titulo|estrato|classificacao
0747-5632|CIÊNCIA DA COMPUTAÇÃO|Computers in Human Behavior|A2|Atualizada em 2012
0166-3615|CIÊNCIA DA COMPUTAÇÃO|Computers in Industry|A2|Atualizada em 2012
1538-9774|CIÊNCIA DA COMPUTAÇÃO|Computers, Informatics, Nursing (Online)|B1|Atualizada em 2012
1436-5057|CIÊNCIA DA COMPUTAÇÃO|Computing (Wien. Internet)|B1|Atualizada em 2012
0010-485X|CIÊNCIA DA COMPUTAÇÃO|Computing (Wien. Print)|B1|Atualizada em 2012
1335-9150|CIÊNCIA DA COMPUTAÇÃO|Computing and Informatics|B3|Atualizada em 2012
1521-9615|CIÊNCIA DA COMPUTAÇÃO|Computing in Science & Engineering (Print)|B1|Atualizada em 2012
1532-0626|CIÊNCIA DA COMPUTAÇÃO|Concurrency and Computation|B2|Atualizada em 2012
1096-9128|CIÊNCIA DA COMPUTAÇÃO|Concurrency: Practice and Experience|A2|Atualizada em 2012
1063-293X|CIÊNCIA DA COMPUTAÇÃO|Concurrent Engineering: Research and Applications|B3|Atualizada em 2012
1982-176X|CIÊNCIA DA COMPUTAÇÃO|Conexões : Ciência e Tecnologia|C|Atualizada em 2012
0384-9864|CIÊNCIA DA COMPUTAÇÃO|Congressus Numerantium|C|Atualizada em 2012
1360-0494|CIÊNCIA DA COMPUTAÇÃO|Connection Science (Online)|B1|Atualizada em 2012
1383-7133|CIÊNCIA DA COMPUTAÇÃO|Constraints (Dordrecht)|B1|Atualizada em 2012
1572-9354|CIÊNCIA DA COMPUTAÇÃO|Constraints (Dordrecht. Online)|B1|Atualizada em 2012
0950-0618|CIÊNCIA DA COMPUTAÇÃO|Construction & Building Materials|B2|Atualizada em 2012
0935-1175|CIÊNCIA DA COMPUTAÇÃO|Continuum Mechanics and Thermodynamics (Print)|B3|Atualizada em 2012
0324-8569|CIÊNCIA DA COMPUTAÇÃO|Control and Cybernetics|B1|Atualizada em 2012
0967-0661|CIÊNCIA DA COMPUTAÇÃO|Control Engineering Practice|A2|Atualizada em 2012
0103-1759|CIÊNCIA DA COMPUTAÇÃO|Controle & Automação (Impresso)|B5|Atualizada em 2012
1807-0345|CIÊNCIA DA COMPUTAÇÃO|Controle & Automação (Online)|B5|Atualizada em 2012
1405-1435|CIÊNCIA DA COMPUTAÇÃO|Convergencía (Toluca)|C|Atualizada em 2012
0970-647X|CIÊNCIA DA COMPUTAÇÃO|CSI Communications|C|Atualizada em 2012
1983-5930|CIÊNCIA DA COMPUTAÇÃO|Culturas Midiáticas|C|Atualizada em 2012
1369-5274|CIÊNCIA DA COMPUTAÇÃO|Current Opinion in Microbiology|B1|Atualizada em 2012
1381-6128|CIÊNCIA DA COMPUTAÇÃO|Current Pharmaceutical Design (Print)|B1|Atualizada em 2012
1389-2037|CIÊNCIA DA COMPUTAÇÃO|Current Protein and Peptide Science|B2|Atualizada em 2012
1934-3396|CIÊNCIA DA COMPUTAÇÃO|Current Protocols in Bioinformatics|B5|Atualizada em 2012
0907-0877|CIÊNCIA DA COMPUTAÇÃO|Cybernetics & Human Knowing|C|Atualizada em 2012
1087-6553|CIÊNCIA DA COMPUTAÇÃO|Cybernetics And Systems (Online)|B2|Atualizada em 2012
0169-023X|CIÊNCIA DA COMPUTAÇÃO|Data & Knowledge Engineering|A2|Atualizada em 2012
1384-5810|CIÊNCIA DA COMPUTAÇÃO|Data Mining and Knowledge Discovery|A2|Atualizada em 2012
1573-756X|CIÊNCIA DA COMPUTAÇÃO|Data Mining and Knowledge Discovery (Dordrecht. Online)|A2|Atualizada em 2012
1517-3801|CIÊNCIA DA COMPUTAÇÃO|Datagramazero (Rio de Janeiro)|C|Atualizada em 2012
0167-9236|CIÊNCIA DA COMPUTAÇÃO|Decision Support Systems|A1|Atualizada em 2012
0967-0645|CIÊNCIA DA COMPUTAÇÃO|Deep-Sea Research. Part 2. Tropical Studies in Oceanography|B1|Atualizada em 2012
1600-4469|CIÊNCIA DA COMPUTAÇÃO|Dental Traumatology (Print)|B2|Atualizada em 2012
0929-5585|CIÊNCIA DA COMPUTAÇÃO|Design Automation for Embedded Systems|B2|Atualizada em 2012
1572-8080|CIÊNCIA DA COMPUTAÇÃO|Design Automation For Embedded Systems (Dordrecht. Online)|B2|Atualizada em 2012
0747-9360|CIÊNCIA DA COMPUTAÇÃO|Design Issues|B4|Atualizada em 2012
1578-4223|CIÊNCIA DA COMPUTAÇÃO|DeSignis (Barcelona)|C|Atualizada em 2012
1573-7586|CIÊNCIA DA COMPUTAÇÃO|Designs, Codes And Cryptography (Dordrecht. Online)|B1|Atualizada em 2012
1058-8388|CIÊNCIA DA COMPUTAÇÃO|Developmental Dynamics|B2|Atualizada em 2012
1519-3640|CIÊNCIA DA COMPUTAÇÃO|Diálogo (Canoas)|C|Atualizada em 2012
1095-4333|CIÊNCIA DA COMPUTAÇÃO|Digital Signal Processing (Online)|B1|Atualizada em 2012
1981-2841|CIÊNCIA DA COMPUTAÇÃO|Disciplinarum Scientia. Série Ciências Naturais e Tecnológicas|C|Atualizada em 2012
1432-0444|CIÊNCIA DA COMPUTAÇÃO|Discrete and Computational Geometry (Internet)|B1|Atualizada em 2012
0166-218X|CIÊNCIA DA COMPUTAÇÃO|Discrete Applied Mathematics|A2|Atualizada em 2012
0012-365X|CIÊNCIA DA COMPUTAÇÃO|Discrete Mathematics|A2|Atualizada em 2012
1365-8050|CIÊNCIA DA COMPUTAÇÃO|Discrete Mathematics and Theoretical Computer Science (Online)|B2|Atualizada em 2012
1572-5286|CIÊNCIA DA COMPUTAÇÃO|Discrete Optimization|B1|Atualizada em 2012
0141-9382|CIÊNCIA DA COMPUTAÇÃO|Displays (Guildford)|B1|Atualizada em 2012
0926-8782|CIÊNCIA DA COMPUTAÇÃO|Distributed and Parallel Databases|B1|Atualizada em 2012
1573-7578|CIÊNCIA DA COMPUTAÇÃO|Distributed and Parallel Databases (Dordrecht. Online)|B1|Atualizada em 2012
0178-2770|CIÊNCIA DA COMPUTAÇÃO|Distributed Computing|B1|Atualizada em 2012
1432-0452|CIÊNCIA DA COMPUTAÇÃO|Distributed Computing (Internet)|B1|Atualizada em 2012
1807-3883|CIÊNCIA DA COMPUTAÇÃO|Dois Pontos (UFPR)|C|Atualizada em 2012
1044-789X|CIÊNCIA DA COMPUTAÇÃO|Dr. Dobb's Journal (1989)|B5|Atualizada em 2012
1201-3390|CIÊNCIA DA COMPUTAÇÃO|Dynamics of Continuous, Discrete and Impulsive System|B4|Atualizada em 2012
1865-0481|CIÊNCIA DA COMPUTAÇÃO|Earth Science Informatics (Internet)|B3|Atualizada em 2012
1865-0473|CIÊNCIA DA COMPUTAÇÃO|Earth Science Informatics (Print)|B3|Atualizada em 2012
1574-9541|CIÊNCIA DA COMPUTAÇÃO|Ecological Informatics (Print)|B1|Atualizada em 2012
0304-3800|CIÊNCIA DA COMPUTAÇÃO|Ecological Modelling|B2|Atualizada em 2012
1464-3839|CIÊNCIA DA COMPUTAÇÃO|Edinburgh Mathematical Society. Proceedings|B3|Atualizada em 2012
0101-7330|CIÊNCIA DA COMPUTAÇÃO|Educação & Sociedade (Impresso)|C|Atualizada em 2012
0101-465X|CIÊNCIA DA COMPUTAÇÃO|Educação (PUCRS. Impresso)|C|Atualizada em 2012
0102-3209|CIÊNCIA DA COMPUTAÇÃO|Educação Brasileira|C|Atualizada em 2012
1517-9702|CIÊNCIA DA COMPUTAÇÃO|Educação e Pesquisa (USP. Impresso)|C|Atualizada em 2012
1414-3895|CIÊNCIA DA COMPUTAÇÃO|Educação Gráfica (UNESP. Bauru)|C|Atualizada em 2012
1577-5097|CIÊNCIA DA COMPUTAÇÃO|ELCVIA. Electronic letters on computer vision and image analysis|B3|Atualizada em 2012
1532-5008|CIÊNCIA DA COMPUTAÇÃO|Electric Power Components and Systems|B3|Atualizada em 2012
0378-7796|CIÊNCIA DA COMPUTAÇÃO|Electric Power Systems Research (Print)|B2|Atualizada em 2012
0948-7921|CIÊNCIA DA COMPUTAÇÃO|Electrical Engineering (Berlin. Print)|B3|Atualizada em 2012
0301-150X|CIÊNCIA DA COMPUTAÇÃO|Electromyography and Clinical Neurophysiology|B2|Atualizada em 2012
1567-4223|CIÊNCIA DA COMPUTAÇÃO|Electronic Commerce Research and Applications|A2|Atualizada em 2012
1863-2122|CIÊNCIA DA COMPUTAÇÃO|Electronic Communications of the EASST|B2|Atualizada em 2012
0717-3458|CIÊNCIA DA COMPUTAÇÃO|Electronic Journal of Biotechnology|B2|Atualizada em 2012
1072-6691|CIÊNCIA DA COMPUTAÇÃO|Electronic Journal of Differential Equations|B2|Atualizada em 2012
1479-439X|CIÊNCIA DA COMPUTAÇÃO|Electronic Journal of e-Government|B2|Atualizada em 2012
1571-0653|CIÊNCIA DA COMPUTAÇÃO|Electronic Notes in Discrete Mathematics|B3|Atualizada em 2012
1571-0661|CIÊNCIA DA COMPUTAÇÃO|Electronic Notes in Theoretical Computer Science|B1|Atualizada em 2012
2075-2180|CIÊNCIA DA COMPUTAÇÃO|Electronic Proceedings in Theoretical Computer Science|B5|Atualizada em 2012
0013-5194|CIÊNCIA DA COMPUTAÇÃO|Electronics Letters|A1|Atualizada em 2012
1350-911X|CIÊNCIA DA COMPUTAÇÃO|Electronics Letters (Online)|A1|Atualizada em 2012
0104-1037|CIÊNCIA DA COMPUTAÇÃO|Em Aberto|C|Atualizada em 2012
1807-8893|CIÊNCIA DA COMPUTAÇÃO|Em Questão (UFRGS. Impresso)|C|Atualizada em 2012
1382-3256|CIÊNCIA DA COMPUTAÇÃO|Empirical Software Engineering|A2|Atualizada em 2012
1573-7616|CIÊNCIA DA COMPUTAÇÃO|Empirical Software Engineering (Dordrecht. Online)|A2|Atualizada em 2012
1518-2924|CIÊNCIA DA COMPUTAÇÃO|Encontros Bibli|C|Atualizada em 2012
0140-9883|CIÊNCIA DA COMPUTAÇÃO|Energy Economics|B1|Atualizada em 2012
1983-1277|CIÊNCIA DA COMPUTAÇÃO|Engenharia de Software Magazine|B5|Atualizada em 2012
1414-3984|CIÊNCIA DA COMPUTAÇÃO|Engenharia na Agricultura (Impresso)|C|Atualizada em 2012
0952-1976|CIÊNCIA DA COMPUTAÇÃO|Engineering Applications of Artificial Intelligence|A2|Atualizada em 2012
0264-4401|CIÊNCIA DA COMPUTAÇÃO|Engineering Computations|B1|Atualizada em 2012
1363-2078|CIÊNCIA DA COMPUTAÇÃO|Engineering Intelligent Systems: for electrical engineering and communications|B3|Atualizada em 2012
0177-0667|CIÊNCIA DA COMPUTAÇÃO|Engineering with Computers|B1|Atualizada em 2012
1435-5663|CIÊNCIA DA COMPUTAÇÃO|Engineering with Computers (Internet)|B1|Atualizada em 2012
1982-9485|CIÊNCIA DA COMPUTAÇÃO|Ensaios Científicos|C|Atualizada em 2012
1751-7575|CIÊNCIA DA COMPUTAÇÃO|Enterprise Information Systems (Print)|B2|Atualizada em 2012
0263-7758|CIÊNCIA DA COMPUTAÇÃO|Environment and Planning. D, Society & Space (Print)|B2|Atualizada em 2012
1352-8505|CIÊNCIA DA COMPUTAÇÃO|Environmental and Ecological Statistics|B2|Atualizada em 2012
1364-8152|CIÊNCIA DA COMPUTAÇÃO|Environmental Modelling & Software|A1|Atualizada em 2012
0167-6369|CIÊNCIA DA COMPUTAÇÃO|Environmental Monitoring and Assessment (Print)|B2|Atualizada em 2012
1180-4009|CIÊNCIA DA COMPUTAÇÃO|EnvironMetrics (London. Ont.)|B2|Atualizada em 2012
1807-8575|CIÊNCIA DA COMPUTAÇÃO|Espaço Energia|C|Atualizada em 2012
0103-0876|CIÊNCIA DA COMPUTAÇÃO|Estudos (UCGO. Impresso)|C|Atualizada em 2012
1413-0580|CIÊNCIA DA COMPUTAÇÃO|Estudos Sociedade e Agricultura (UFRJ)|C|Atualizada em 2012
1676-2592|CIÊNCIA DA COMPUTAÇÃO|ETD. Educação Temática Digital|C|Atualizada em 2012
1687-6180|CIÊNCIA DA COMPUTAÇÃO|EURASIP Journal on Advances in Signal Processing (Online)|B1|Atualizada em 2012
1687-6172|CIÊNCIA DA COMPUTAÇÃO|EURASIP Journal on Advances in Signal Processing (Print)|B1|Atualizada em 2012
1687-4153|CIÊNCIA DA COMPUTAÇÃO|EURASIP Journal on Bioinformatics and Systems Biology (Online)|B3|Atualizada em 2012
1687-3963|CIÊNCIA DA COMPUTAÇÃO|Eurasip Journal on Embedded Systems|B4|Atualizada em 2012
1687-1472|CIÊNCIA DA COMPUTAÇÃO|EURASIP Journal on Wireless Communications and Networking|B1|Atualizada em 2012
1027-5207|CIÊNCIA DA COMPUTAÇÃO|EURODL (Oslo)|C|Atualizada em 2012
1095-9971|CIÊNCIA DA COMPUTAÇÃO|European Journal of Combinatorics (Online)|B1|Atualizada em 2012
0195-6698|CIÊNCIA DA COMPUTAÇÃO|European Journal of Combinatorics (Print)|B1|Atualizada em 2012
0947-3580|CIÊNCIA DA COMPUTAÇÃO|European Journal of Control|B2|Atualizada em 2012
1476-9344|CIÊNCIA DA COMPUTAÇÃO|European Journal of Information Systems (Online)|B1|Atualizada em 2012
0223-5234|CIÊNCIA DA COMPUTAÇÃO|European Journal of Medicinal Chemistry|B2|Atualizada em 2012
0377-2217|CIÊNCIA DA COMPUTAÇÃO|European Journal of Operational Research|A1|Atualizada em 2012
1450-216X|CIÊNCIA DA COMPUTAÇÃO|European Journal of Scientific Research|B4|Atualizada em 2012
0295-5075|CIÊNCIA DA COMPUTAÇÃO|Europhysics Letters (Print)|B2|Atualizada em 2012
1063-6560|CIÊNCIA DA COMPUTAÇÃO|Evolutionary Computation|A1|Atualizada em 2012
1530-9304|CIÊNCIA DA COMPUTAÇÃO|Evolutionary Computation (Online)|A1|Atualizada em 2012
1864-5909|CIÊNCIA DA COMPUTAÇÃO|Evolutionary Intelligence (Print)|B4|Atualizada em 2012
1868-6478|CIÊNCIA DA COMPUTAÇÃO|Evolving Systems|B5|Atualizada em 2012
1058-6458|CIÊNCIA DA COMPUTAÇÃO|Experimental Mathematics|B2|Atualizada em 2012
1468-0394|CIÊNCIA DA COMPUTAÇÃO|Expert Systems (Online)|B2|Atualizada em 2012
0266-4720|CIÊNCIA DA COMPUTAÇÃO|Expert Systems (Print)|B2|Atualizada em 2012
0957-4174|CIÊNCIA DA COMPUTAÇÃO|Expert Systems with Applications|A1|Atualizada em 2012
0972-0871|CIÊNCIA DA COMPUTAÇÃO|Far East Journal of Mathematical Sciences: FJMS|B5|Atualizada em 2012
1809-936X|CIÊNCIA DA COMPUTAÇÃO|Faz. Ciência & Tecnologia|C|Atualizada em 2012
0378-1097|CIÊNCIA DA COMPUTAÇÃO|FEMS Microbiology Letters|B1|Atualizada em 2012
1934-4554|CIÊNCIA DA COMPUTAÇÃO|Financial Markets and Portfolio Management|C|Atualizada em 2012
2177-8671|CIÊNCIA DA COMPUTAÇÃO|Fio da Ação|C|Atualizada em 2012
1396-0466|CIÊNCIA DA COMPUTAÇÃO|First Monday (Online)|B2|Atualizada em 2012
1677-0323|CIÊNCIA DA COMPUTAÇÃO|FLF.EDU|C|Atualizada em 2012
1808-0715|CIÊNCIA DA COMPUTAÇÃO|Fonte (Belo Horizonte)|C|Atualizada em 2012
0379-0738|CIÊNCIA DA COMPUTAÇÃO|Forensic Science International|B2|Atualizada em 2012
0934-5043|CIÊNCIA DA COMPUTAÇÃO|Formal Aspects of Computing|A2|Atualizada em 2012
1433-299X|CIÊNCIA DA COMPUTAÇÃO|Formal Aspects of Computing (Internet)|A2|Atualizada em 2012
0925-9856|CIÊNCIA DA COMPUTAÇÃO|Formal Methods in System Design|A2|Atualizada em 2012
1572-8102|CIÊNCIA DA COMPUTAÇÃO|Formal Methods in System Design (Dordrecht. Online)|A2|Atualizada em 2012
1615-3383|CIÊNCIA DA COMPUTAÇÃO|Foundations of Computational Mathematics (Internet)|B2|Atualizada em 2012
0169-2968|CIÊNCIA DA COMPUTAÇÃO|Fundamenta Informaticae|B1|Atualizada em 2012
0167-739X|CIÊNCIA DA COMPUTAÇÃO|Future Generation Computer Systems|A2|Atualizada em 2012
0165-0114|CIÊNCIA DA COMPUTAÇÃO|Fuzzy Sets and Systems|A1|Atualizada em 2012
0378-1119|CIÊNCIA DA COMPUTAÇÃO|Gene (Amsterdam)|B2|Atualizada em 2012
1389-2576|CIÊNCIA DA COMPUTAÇÃO|Genetic Programming and Evolvable Machines (Print)|B1|Atualizada em 2012
1415-4757|CIÊNCIA DA COMPUTAÇÃO|Genetics and Molecular Biology (Impresso)|B3|Atualizada em 2012
1676-5680|CIÊNCIA DA COMPUTAÇÃO|Genetics and Molecular Research|B2|Atualizada em 2012
1265-1397|CIÊNCIA DA COMPUTAÇÃO|Genie Logiciel|B5|Atualizada em 2012
1474-7596|CIÊNCIA DA COMPUTAÇÃO|Genome Biology (Print): Biology for the Post-Genomic Era|B1|Atualizada em 2012
1088-9051|CIÊNCIA DA COMPUTAÇÃO|Genome Research|B1|Atualizada em 2012
0016-7061|CIÊNCIA DA COMPUTAÇÃO|Geoderma (Amsterdam)|B2|Atualizada em 2012
1384-6175|CIÊNCIA DA COMPUTAÇÃO|Geoinformatica (Dordrecht)|B1|Atualizada em 2012
1573-7624|CIÊNCIA DA COMPUTAÇÃO|Geoinformatica (Dordrecht. Online)|B1|Atualizada em 2012
0104-530X|CIÊNCIA DA COMPUTAÇÃO|Gestão & Produção (UFSCAR. Impresso)|C|Atualizada em 2012
1808-5792|CIÊNCIA DA COMPUTAÇÃO|Gestão & Regionalidade|C|Atualizada em 2012
1679-236X|CIÊNCIA DA COMPUTAÇÃO|Gestão (Curitiba)|C|Atualizada em 2012
1738-6438|CIÊNCIA DA COMPUTAÇÃO|GESTS International Transactions on Computer Science and Engineering|B5|Atualizada em 2012
1524-0703|CIÊNCIA DA COMPUTAÇÃO|Graphical Models (Print)|B2|Atualizada em 2012
0911-0119|CIÊNCIA DA COMPUTAÇÃO|Graphs and Combinatorics|B2|Atualizada em 2012
0017-8012|CIÊNCIA DA COMPUTAÇÃO|Harvard Business Review|B2|Atualizada em 2012
0103-1155|CIÊNCIA DA COMPUTAÇÃO|Hífen (PUCRS. Impresso)|C|Atualizada em 2012
1983-6511|CIÊNCIA DA COMPUTAÇÃO|Hífen (Uruguaiana. Online)|C|Atualizada em 2012
0018-2028|CIÊNCIA DA COMPUTAÇÃO|Híradástechnika / Journal on Communications, Computers, Convergence, Contents, Companies (English)|C|Atualizada em 2012
1807-1600|CIÊNCIA DA COMPUTAÇÃO|Holos (Natal. Online)|C|Atualizada em 2012
1808-3064|CIÊNCIA DA COMPUTAÇÃO|Horizonte Científico (Uberlândia)|C|Atualizada em 2012
1532-7051|CIÊNCIA DA COMPUTAÇÃO|Human-Computer Interaction (Online)|A2|Atualizada em 2012
1078-9669|CIÊNCIA DA COMPUTAÇÃO|HVAC & R Research|B2|Atualizada em 2012
0885-6087|CIÊNCIA DA COMPUTAÇÃO|Hydrological Processes (Print)|B2|Atualizada em 2012
1645-7641|CIÊNCIA DA COMPUTAÇÃO|IADIS International Journal on WWWInternet|B5|Atualizada em 2012
0144-7815|CIÊNCIA DA COMPUTAÇÃO|IAHS-AISH Publication|C|Atualizada em 2012
0018-8646|CIÊNCIA DA COMPUTAÇÃO|IBM Journal of Research and Development (Print)|A1|Atualizada em 2012
0018-8670|CIÊNCIA DA COMPUTAÇÃO|IBM Systems Journal (Print)|A2|Atualizada em 2012
1389-6911|CIÊNCIA DA COMPUTAÇÃO|ICGA Journal|B1|Atualizada em 2012
1359-7019|CIÊNCIA DA COMPUTAÇÃO|IEE Proceedings. Communications (Online)|B3|Atualizada em 2012
1058-6180|CIÊNCIA DA COMPUTAÇÃO|IEEE Annals of the History of Computing|B3|Atualizada em 2012
1089-7798|CIÊNCIA DA COMPUTAÇÃO|IEEE Communications Letters (Print)|A1|Atualizada em 2012
0163-6804|CIÊNCIA DA COMPUTAÇÃO|IEEE Communications Magazine (Print)|A1|Atualizada em 2012
1553-877X|CIÊNCIA DA COMPUTAÇÃO|IEEE Communications Surveys and Tutorials|A1|Atualizada em 2012
1556-6056|CIÊNCIA DA COMPUTAÇÃO|IEEE Computer Architecture Letters|B4|Atualizada em 2012
0272-1716|CIÊNCIA DA COMPUTAÇÃO|IEEE Computer Graphics and Applications|A2|Atualizada em 2012
0740-7475|CIÊNCIA DA COMPUTAÇÃO|IEEE Design & Test of Computers (Print)|A2|Atualizada em 2012
1541-4922|CIÊNCIA DA COMPUTAÇÃO|IEEE Distributed Systems Online|B1|Atualizada em 2012
0739-5175|CIÊNCIA DA COMPUTAÇÃO|IEEE Engineering in Medicine and Biology Magazine|B2|Atualizada em 2012
1932-4537|CIÊNCIA DA COMPUTAÇÃO|IEEE eTransactions on Network and Service Management|B4|Atualizada em 2012
1545-598X|CIÊNCIA DA COMPUTAÇÃO|IEEE Geoscience and Remote Sensing Letters (Print)|B1|Atualizada em 2012
1541-1672|CIÊNCIA DA COMPUTAÇÃO|IEEE Intelligent Systems|A1|Atualizada em 2012
1089-7801|CIÊNCIA DA COMPUTAÇÃO|IEEE Internet Computing|A1|Atualizada em 2012
1932-4553|CIÊNCIA DA COMPUTAÇÃO|IEEE Journal of Selected Topics in Signal Processing|A1|Atualizada em 2012
0733-8716|CIÊNCIA DA COMPUTAÇÃO|IEEE Journal on Selected Areas in Communications (Print)|A1|Atualizada em 2012
0272-1732|CIÊNCIA DA COMPUTAÇÃO|IEEE Micro|A1|Atualizada em 2012
1558-7908|CIÊNCIA DA COMPUTAÇÃO|IEEE Multidisciplinary Engineering Education Magazine|B4|Atualizada em 2012
1070-986X|CIÊNCIA DA COMPUTAÇÃO|IEEE Multimedia|A2|Atualizada em 2012
0890-8044|CIÊNCIA DA COMPUTAÇÃO|IEEE Network|A1|Atualizada em 2012
1536-1268|CIÊNCIA DA COMPUTAÇÃO|IEEE Pervasive Computing|A2|Atualizada em 2012
1041-1135|CIÊNCIA DA COMPUTAÇÃO|IEEE Photonics Technology Letters|B1|Atualizada em 2012
1540-7993|CIÊNCIA DA COMPUTAÇÃO|IEEE Security & Privacy|B1|Atualizada em 2012
1070-9908|CIÊNCIA DA COMPUTAÇÃO|IEEE Signal Processing Letters|A1|Atualizada em 2012
1053-5888|CIÊNCIA DA COMPUTAÇÃO|IEEE Signal Processing Magazine (Print)|A1|Atualizada em 2012
0740-7459|CIÊNCIA DA COMPUTAÇÃO|IEEE Software|A1|Atualizada em 2012
0018-9286|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Automatic Control (Print)|A1|Atualizada em 2012
0018-9294|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Biomedical Engineering (Print)|A1|Atualizada em 2012
0018-9316|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Broadcasting|A2|Atualizada em 2012
1051-8215|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Circuits and Systems for Video Technology (Print)|A1|Atualizada em 2012
1549-8328|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Circuits and Systems. I, Regular Papers (Print)|A2|Atualizada em 2012
0090-6778|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Communications (Print)|A1|Atualizada em 2012
0278-0070|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems|A1|Atualizada em 2012
0018-9340|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Computers (Print)|A1|Atualizada em 2012
0098-3063|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Consumer Electronics|A2|Atualizada em 2012
1545-5971|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Dependable and Secure Computing|B1|Atualizada em 2012
1070-9878|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Dielectrics and Electrical Insulation|B2|Atualizada em 2012
0018-9359|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Education|B1|Atualizada em 2012
0018-9383|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Electron Devices|A1|Atualizada em 2012
1089-778X|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Evolutionary Computation|A1|Atualizada em 2012
1063-6706|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Fuzzy Systems|A1|Atualizada em 2012
0196-2892|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Geoscience and Remote Sensing|A1|Atualizada em 2012
1057-7149|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Image Processing|A1|Atualizada em 2012
0278-0046|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Industrial Electronics (1982. Print)|A1|Atualizada em 2012
1551-3203|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Industrial Informatics|A2|Atualizada em 2012
1089-7771|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Information Technology in Biomedicine|A2|Atualizada em 2012
0018-9448|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Information Theory|A1|Atualizada em 2012
0018-9456|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Instrumentation and Measurement|A2|Atualizada em 2012
1041-4347|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Knowledge and Data Engineering (Print)|A1|Atualizada em 2012
1939-1382|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Learning Technologies|B5|Atualizada em 2012
0018-9464|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Magnetics|B2|Atualizada em 2012
0278-0062|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Medical Imaging (Print)|A1|Atualizada em 2012
1520-9210|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Multimedia|A1|Atualizada em 2012
1536-1241|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Nanobioscience|A2|Atualizada em 2012
1045-9227|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Neural Networks|A1|Atualizada em 2012
0018-9499|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Nuclear Science|B2|Atualizada em 2012
1045-9219|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Parallel and Distributed Systems (Print)|A1|Atualizada em 2012
0162-8828|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Pattern Analysis and Machine Intelligence|A1|Atualizada em 2012
0885-8977|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Power Delivery|B2|Atualizada em 2012
0885-8993|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Power Electronics|B1|Atualizada em 2012
0885-8950|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Power Systems|B1|Atualizada em 2012
0018-9529|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Reliability|A2|Atualizada em 2012
1552-3098|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Robotics|A1|Atualizada em 2012
1042-296X|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Robotics and Automation (Cessou em 2004. Foi desdobrado em dois: ISSN 1545-5955 IEEE Transactions on Automation Science and Engineering e ISSN 1552-3098 IEEE Transactions on Robotics)|A1|Atualizada em 2012
1053-587X|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Signal Processing|A1|Atualizada em 2012
0098-5589|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Software Engineering|A1|Atualizada em 2012
1083-4427|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Systems, Man and Cybernetics. Part A. Systems and Humans|A1|Atualizada em 2012
1083-4419|CIÊNCIA DA COMPUTAÇÃO|IEEE Transactions on Systems, Man and Cybernetics. Part B. Cybernetics|A1|Atualizada em 2012
