ISSN|area|titulo|estrato|anoBase
0885-8950|Ciência da Computação|IEEE Transactions on Power Systems|B2|2008
0018-9529|Ciência da Computação|IEEE Transactions on Reliability|A2|2008
1552-3098|Ciência da Computação|IEEE Transactions on Robotics|A1|2008

1042-296X|Ciência da Computação|IEEE Transactions on Robotics and Automation|A1|2008
1545-5955||IEEE Transactions on Automation Science and Engineering|A1|2008

0098-5589|Ciência da Computação|IEEE Transactions on Software Engineering|A1|2008
1083-4427|Ciência da Computação|IEEE Transactions on Systems, Man and Cybernetics. Part A. Systems and Humans|A2|2008
1083-4419|Ciência da Computação|IEEE Transactions on Systems, Man and Cybernetics. Part B. Cybernetics|A1|2008
1094-6977|Ciência da Computação|IEEE Transactions on Systems, Man and Cybernetics. Part C, Applications and Reviews|A2|2008
0018-9545|Ciência da Computação|IEEE Transactions on Vehicular Technology|A1|2008
1063-8210|Ciência da Computação|IEEE Transactions on Very Large Scale Integration VLSI Systems (Print)|A2|2008
1077-2626|Ciência da Computação|IEEE Transactions on Visualization and Computer Graphics|A2|2008
1536-1276|Ciência da Computação|IEEE Transactions on Wireless Communications|A2|2008
1536-1284|Ciência da Computação|IEEE Wireless Communications|A1|2008
1545-5963|Ciência da Computação|IEEE/ACM Transactions on Computational Biology and Bioinformatics (Print)|A1|2008
1063-6692|Ciência da Computação|IEEE/ACM Transactions on Networking (Print)|A1|2008
0916-8524|Ciência da Computação|IEICE Transactions on Electronics|B1|2008
0916-8508|Ciência da Computação|IEICE Transactions on Fundamentals of Electronics, Communications and Computer Science|B1|2008
0916-8532|Ciência da Computação|IEICE Transactions on Information and Systems|B2|2008
1751-858X|Ciência da Computação|IET Circuits, Devices & Systems (Print)|B3|2008
1751-8601|Ciência da Computação|IET Computers & Digital Techniques (Print)|B3|2008

1751-8806|Ciência da Computação|IET Software (Print)|B2|2008
1982-5498|Ciência da Computação|Igapó (CEFET-AM)|C|2008
1471-678X|Ciência da Computação|IMA Journal of Management Mathematics (Print)|C|2008
0272-4979|Ciência da Computação|IMA Journal of Numerical Analysis|A2|2008
0262-8856|Ciência da Computação|Image and Vision Computing|A2|2008
1807-4545|Ciência da Computação|INFOCOMP (UFLA. Impresso)|C|2008
0315-5986|Ciência da Computação|INFOR. Information Systems and Operational Research|B2|2008
0350-5596|Ciência da Computação|Informatica (Ljubljana)|B2|2008
1648-5831|Ciência da Computação|Informatics in Education|B2|2008
0378-7206|Ciência da Computação|Information & Management (Amsterdam)|A2|2008
1090-2651|Ciência da Computação|Information and Computation (Online)|A2|2008
0890-5401|Ciência da Computação|Information and Computation (Print)|A2|2008
0950-5849|Ciência da Computação|Information and Software Technology|B1|2008
0968-5227|Ciência da Computação|Information Management & Computer Security|B2|2008
0306-4573|Ciência da Computação|Information Processing & Management|A2|2008
0020-0190|Ciência da Computação|Information Processing Letters (Print)|B1|2008
1573-7659|Ciência da Computação|Information Retrieval (Dordrecht. Online)|B1|2008
0020-0255|Ciência da Computação|Information Sciences|A1|2008
0306-4379|Ciência da Computação|Information Systems (Oxford)|A2|2008
1572-9419|Ciência da Computação|Information Systems Frontiers (Dordrecht. Online)|B1|2008
1387-3326|Ciência da Computação|Information Systems Frontiers (Print)|B1|2008
1058-0530|Ciência da Computação|Information Systems Management|B2|2008
0730-9295|Ciência da Computação|Information Technology and Libraries|B2|2008
0268-1102|Ciência da Computação|Information Technology for Development|B2|2008
1473-8716|Ciência da Computação|Information Visualization (Print)|B2|2008
0988-3754|Ciência da Computação|Informatique Théorique et Applications (Imprimé)|B2|2008
1091-9856|Ciência da Computação|INFORMS Journal on Computing|B1|2008
1526-5528|Ciência da Computação|INFORMS Journal on Computing (Online)|B1|2008
1614-5046|Ciência da Computação|Innovations in Systems and Software Engineering (Print)|B2|2008
0020-1685|Ciência da Computação|Inorganic Materials|B4|2008
1069-2509|Ciência da Computação|Integrated Computer-Aided Engineering|B2|2008
1872-7522|Ciência da Computação|Integration (Amsterdam. Online)|B2|2008
0167-9260|Ciência da Computação|Integration (Amsterdam. Print)|B2|2008
1137-3601|Ciência da Computação|Inteligencia Artificial|B2|2008
1517-3860|Ciência da Computação|Inteligência Empresarial (UFRJ)|C|2008
1079-8587|Ciência da Computação|Intelligent Automation and Soft Computing|B2|2008
0953-5438|Ciência da Computação|Interacting with Computers|B1|2008
0092-2102|Ciência da Computação|Interfaces (Providence)|B1|2008
0964-8305|Ciência da Computação|International Biodeterioration & Biodegradation|B3|2008
1097-0207|Ciência da Computação|International Journal for Numerical Methods in Engineering (Online)|A1|2008
0029-5981|Ciência da Computação|International Journal for Numerical Methods in Engineering (Print)|A1|2008
1097-0363|Ciência da Computação|International Journal for Numerical Methods in Fluids (Online)|A2|2008
0271-2091|Ciência da Computação|International Journal for Numerical Methods in Fluids (Print)|A2|2008
1353-4505|Ciência da Computação|International Journal for Quality in Health Care|B3|2008
1746-1375|Ciência da Computação|International Journal of Agent-Oriented Software Engineering (Print)|B4|2008
0218-1967|Ciência da Computação|International Journal of Algebra and Computation|B2|2008
1311-1728|Ciência da Computação|International Journal of Applied Mathematics|B5|2008
0888-613X|Ciência da Computação|International Journal of Approximate Reasoning|B1|2008
1873-4731|Ciência da Computação|International Journal of Approximate Reasoning (Online)|B1|2008
1560-4292|Ciência da Computação|International Journal of Artificial Intelligence in Education (Print)|B2|2008
1754-8632|Ciência da Computação|International Journal of Autonomous and Adaptive Communications Systems (Print)|B5|2008
0218-1274|Ciência da Computação|International Journal of Bifurcation and Chaos in Applied Sciences and Engineering|B2|2008
1744-5485|Ciência da Computação|International Journal of Bioinformatics Research and Applications (Print)|B2|2008
1099-1131|Ciência da Computação|International Journal of Communication Systems (Online)|B2|2008
1074-5351|Ciência da Computação|International Journal of Communication Systems (Print)|B2|2008
1311-6789|Ciência da Computação|International Journal of Computational and Numerical Analysis and Applications|B5|2008
1756-0764|Ciência da Computação|International Journal of Computational Biology and Drug Design (Online)|B5|2008
1061-8562|Ciência da Computação|International Journal of Computational Fluid Dynamics (Print)|B2|2008
0218-1959|Ciência da Computação|International Journal of Computational Geometry and Applications|B2|2008
1861-6410|Ciência da Computação|International Journal of Computer Assisted Radiology and Surgery (Print)|B2|2008
1362-3052|Ciência da Computação|International Journal of Computer Integrated Manufacturing (Online)|B2|2008
0951-192X|Ciência da Computação|International Journal of Computer Integrated Manufacturing (Print)|B2|2008
0020-7160|Ciência da Computação|International Journal of Computer Mathematics|B2|2008
0920-5691|Ciência da Computação|International Journal of Computer Vision|A1|2008
0020-7179|Ciência da Computação|International Journal of Control (Print)|A2|2008
0218-8430|Ciência da Computação|International Journal of Cooperative Information Systems|B1|2008
1548-3924|Ciência da Computação|International Journal of Data Warehousing and Mining|B5|2008
1539-3100|Ciência da Computação|International Journal of Distance Education Technologies|B2|2008
1550-1477|Ciência da Computação|International Journal of Distributed Sensor Networks (Online)|B2|2008
1086-4415|Ciência da Computação|International Journal of Electronic Commerce|B1|2008
1362-3060|Ciência da Computação|International Journal of Electronics (Online)|B1|2008
0020-7217|Ciência da Computação|International Journal of Electronics (Print)|B1|2008
1472-8915|Ciência da Computação|International Journal of Engineering Intelligent Systems for Electrical Engineering and Communications (1997)|B2|2008

0969-1170|Ciência da Computação|International Journal of Engineering Intelligent Systems for Electrical Engineering and Communications|B2|2008
1363-2078||Engineering Intelligent Systems for Electrical Engineering and Communications|B2|2008

0129-0541|Ciência da Computação|International Journal of Foundations of Computer Science|B1|2008
1756-2112|Ciência da Computação|International Journal of Functional Informatics and Personalised Medicine (Online)|B5|2008
1365-8824|Ciência da Computação|International Journal of Geographical Information Science (Online)|A2|2008
1365-8816|Ciência da Computação|International Journal of Geographical Information Science (Print)|A2|2008
1740-0562|Ciência da Computação|International Journal of High Performance Computing and Networking (Print)|B2|2008
1751-6528|Ciência da Computação|International Journal of High Performance Systems Architecture (Print)|B1|2008
1532-7590|Ciência da Computação|International Journal of Human-Computer Interaction (Online)|B1|2008
1095-9300|Ciência da Computação|International Journal of Human-Computer Studies (Online)|A2|2008
1448-5869|Ciência da Computação|International Journal of Hybrid Intelligent Systems|B5|2008
0360-3199|Ciência da Computação|International Journal of Hydrogen Energy|B2|2008
0219-4678|Ciência da Computação|International Journal of Image and Graphics|B2|2008
0899-9457|Ciência da Computação|International Journal of Imaging Systems and Technology (Print)|B1|2008
1550-1876|Ciência da Computação|International Journal of Information and Communication Technology Education|B2|2008
1895-8648|Ciência da Computação|International Journal of Information Technology and Intelligent Computing|B5|2008
1751-6498|Ciência da Computação|International Journal of Innovative Computing and Applications (Online)|B5|2008
1349-4198|Ciência da Computação|International Journal of Innovative Computing, Information & Control|A2|2008
0218-2157|Ciência da Computação|International Journal of Intelligent and Cooperative Information Systems|B1|2008
1098-111X|Ciência da Computação|International Journal of Intelligent Systems (Online)|B1|2008
0884-8173|Ciência da Computação|International Journal of Intelligent Systems (Print)|B1|2008
1741-1009|Ciência da Computação|International Journal of Knowledge and Learning (Print)|B5|2008
1368-2148|Ciência da Computação|International Journal of Manufacturing Technology and Management|B4|2008
1386-5056|Ciência da Computação|International Journal of Medical Informatics|A2|2008
1744-2621|Ciência da Computação|International Journal of Metadata, Semantics and Ontologies (Print)|B2|2008
1982-6036|Ciência da Computação|International Journal of Modeling and Simulation for the Petroleum Industry (Impresso)|C|2008
0129-1831|Ciência da Computação|International Journal of Modern Physics C|B1|2008
1099-1190|Ciência da Computação|International Journal of Network Management (Online)|B5|2008
1055-7148|Ciência da Computação|International Journal of Network Management (Print)|B5|2008
0129-0657|Ciência da Computação|International Journal of Neural Systems|B2|2008
1745-7645|Ciência da Computação|International Journal of Operational Research (Print)|B5|2008
0885-7458|Ciência da Computação|International Journal of Parallel Programming|B2|2008
0218-0014|Ciência da Computação|International Journal of Pattern Recognition and Artificial Intelligence|B1|2008
1743-5110|Ciência da Computação|International Journal of Product Lifecycle Management (Print)|C|2008
0020-7543|Ciência da Computação|International Journal of Production Research (Print)|B2|2008
1311-8080|Ciência da Computação|International Journal of Pure and Applied Mathematics|C|2008
0219-7499|Ciência da Computação|International Journal of Quantum Information|B2|2008
0143-1161|Ciência da Computação|International Journal of Remote Sensing (Print)|A1|2008
1099-047X|Ciência da Computação|International Journal of RF and Microwave Computer-Aided Engineering (Online)|B2|2008
1747-8405|Ciência da Computação|International Journal of Security and Networks (Print)|B5|2008
1741-539X|Ciência da Computação|International Journal of Services Operations and Informatics (Print)|B3|2008
0218-1940|Ciência da Computação|International Journal of Software Engineering and Knowledge Engineering|B2|2008
1464-5319|Ciência da Computação|International Journal of Systems Science (Online)|B1|2008
0219-0249|Ciência da Computação|International Journal of Theoretical and Applied Finance|B4|2008
0970-9819|Ciência da Computação|International Journal of Translation|C|2008
0218-4885|Ciência da Computação|International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems|B2|2008
1477-8394|Ciência da Computação|International Journal of Web Based Communities (Print)|B5|2008
1476-1289|Ciência da Computação|International Journal of Web Engineering and Technology|B2|2008
1744-0084|Ciência da Computação|International Journal of Web Information Systems (Print)|B5|2008
1068-9605|Ciência da Computação|International Journal of Wireless Information Networks|B2|2008
0218-2130|Ciência da Computação|International Journal on Artificial Intelligence Tools|B2|2008
1432-5012|Ciência da Computação|International Journal on Digital Libraries (Print)|B2|2008
1433-2833|Ciência da Computação|International Journal on Document Analysis and Recognition (Print)|B2|2008
1537-2456|Ciência da Computação|International Journal on E-Learning|B5|2008
1433-2787|Ciência da Computação|International Journal on Software Tools for Technology Transfer (Internet)|B1|2008
1433-2779|Ciência da Computação|International Journal on Software Tools for Technology Transfer (Print)|B1|2008
1863-0383|Ciência da Computação|International Journal: Emerging Technologies in Learning|C|2008
0969-6016|Ciência da Computação|International Transactions in Operational Research|B4|2008
1751-1461|Ciência da Computação|International Transactions on Systems Science and Applications (Print)|C|2008
1066-2243|Ciência da Computação|Internet Research|B1|2008
0874-5161|Ciência da Computação|Investigação Operacional|B5|2008
1516-697X|Ciência da Computação|IP (Belo Horizonte)|C|2008
0021-2172|Ciência da Computação|Israel Journal of Mathematics|B4|2008
1984-2902|Ciência da Computação|iSys: Revista Brasileira de Sistemas de Informação|C|2008
1520-9202|Ciência da Computação|IT Professional|C|2008
1120-1770|Ciência da Computação|Italian Journal of Food Sciences|B4|2008
1460-7425|Ciência da Computação|JASSS (Guildford)|B2|2008
1807-1953|Ciência da Computação|JICS. Journal of Integrated Circuits and Systems (Ed. Português)|B5|2008
1433-8157|Ciência da Computação|Journal for Geometry and Graphics|B2|2008
0197-6729|Ciência da Computação|Journal of Advanced Transportation|B4|2008
0969-6997|Ciência da Computação|Journal of Air Transport Management|B4|2008
0021-8693|Ciência da Computação|Journal of Algebra (Print)|B3|2008
1090-2678|Ciência da Computação|Journal of Algorithms (Online)|A2|2008
0196-6774|Ciência da Computação|Journal of Algorithms (Print)|A2|2008
1570-8683|Ciência da Computação|Journal of Applied Logic|B2|2008
0021-8936|Ciência da Computação|Journal of Applied Mechanics|B2|2008
1166-3081|Ciência da Computação|Journal of Applied Non-Classical Logics|B2|2008
0021-8979|Ciência da Computação|Journal of Applied Physics|B2|2008
1067-5817|Ciência da Computação|Journal of Applied Statistical Science|B5|2008
0266-4763|Ciência da Computação|Journal of Applied Statistics|B4|2008
1573-0670|Ciência da Computação|Journal of Automated Reasoning (Dordrecht. Online)|B1|2008
0021-9193|Ciência da Computação|Journal of Bacteriology (Print)|B2|2008
0219-7200|Ciência da Computação|Journal of Bioinformatics and Computational Biology (Print)|B2|2008
1532-0464|Ciência da Computação|Journal of Biomedical Informatics|A1|2008
1549-960X|Ciência da Computação|Journal of Chemical Information and Modeling (Online)|B4|2008
0886-9383|Ciência da Computação|Journal of Chemometrics (Print)|B2|2008
0218-1266|Ciência da Computação|Journal of Circuits, Systems, and Computers|B2|2008
0095-1137|Ciência da Computação|Journal of Clinical Microbiology (Print)|B2|2008
1386-6532|Ciência da Computação|Journal of Clinical Virology|B2|2008
0749-0208|Ciência da Computação|Journal of Coastal Research|B3|2008
1382-6905|Ciência da Computação|Journal of Combinatorial Optimization|B1|2008
1573-2886|Ciência da Computação|Journal of Combinatorial Optimization (Dordrecht. Online)|B1|2008
0097-3165|Ciência da Computação|Journal of Combinatorial Theory. Series A (Print)|B1|2008
0095-8956|Ciência da Computação|Journal of Combinatorial Theory. Series B (Print)|A2|2008
1229-2370|Ciência da Computação|Journal of Communications and Networks (Seoul. Print)|B2|2008
1090-2708|Ciência da Computação|Journal of Complexity (Online)|B1|2008
0377-0427|Ciência da Computação|Journal of Computational and Applied Mathematics|A2|2008
1066-5277|Ciência da Computação|Journal of Computational Biology|A1|2008
1090-2716|Ciência da Computação|Journal of Computational Physics (Online)|A1|2008
0021-9991|Ciência da Computação|Journal of Computational Physics (Print)|A1|2008
1064-2307|Ciência da Computação|Journal of Computer & Systems Sciences International|B2|2008
1090-2724|Ciência da Computação|Journal of Computer and System Sciences (Online)|A2|2008
0022-0000|Ciência da Computação|Journal of Computer and System Sciences (Print)|A2|2008
1000-9000|Ciência da Computação|Journal of Computer Science and Technology|B2|2008
1666-6038|Ciência da Computação|Journal of Computer Science and Technology (La Plata. En línea)|B2|2008
1549-3636|Ciência da Computação|Journal of Computer Sciences|B2|2008
0928-1045|Ciência da Computação|Journal of Computer-Aided Materials Design|B1|2008
1573-4951|Ciência da Computação|Journal of Computer-Aided Molecular Design (Dordrecht. Online)|A1|2008
1530-9827|Ciência da Computação|Journal of Computing and Information Science in Engineering|B2|2008
0887-3801|Ciência da Computação|Journal of Computing in Civil Engineering|B1|2008
1976-4677|Ciência da Computação|Journal of Computing Science and Engineering (Seoul)|C|2008
1975-9320|Ciência da Computação|Journal of Convergence Information Technology (Gyeongju)|C|2008
1432-1378|Ciência da Computação|Journal of Cryptology (Internet)|A2|2008
1296-2074|Ciência da Computação|Journal of Cultural Heritage|B4|2008
1533-8010|Ciência da Computação|Journal of Database Management (Online)|B2|2008
1246-0125|Ciência da Computação|Journal of Decision Systems|B5|2008
0897-1889|Ciência da Computação|Journal of Digital Imaging|B1|2008
1618-727X|Ciência da Computação|Journal of Digital Imaging (Internet)|B1|2008
1570-8667|Ciência da Computação|Journal of Discrete Algorithms (Print)|B2|2008
0374-3535|Ciência da Computação|Journal of Elasticity|B3|2008
1017-9909|Ciência da Computação|Journal of Electronic Imaging (Print)|B1|2008
0923-8174|Ciência da Computação|Journal of Electronic Testing|B3|2008
1573-0727|Ciência da Computação|Journal of Electronic Testing (Dordrecht. Online)|B3|2008
1229-425X|Ciência da Computação|Journal of Electronics and Computer Science - Kawandong University|B3|2008
0378-8741|Ciência da Computação|Journal of Ethnopharmacology|B2|2008
1362-3079|Ciência da Computação|Journal of Experimental and Theoretical Artificial Intelligence (Online)|B2|2008
0952-813X|Ciência da Computação|Journal of Experimental and Theoretical Artificial Intelligence (Print)|B2|2008
1556-4959|Ciência da Computação|Journal of Field Robotics|B1|2008
1972-5787|Ciência da Computação|Journal of Formalized Reasoning|C|2008
1469-7653|Ciência da Computação|Journal of Functional Programming (Online)|B1|2008
0148-0227|Ciência da Computação|Journal of Geophysical Research|B2|2008
0925-5001|Ciência da Computação|Journal of Global Optimization|B1|2008
1573-2916|Ciência da Computação|Journal of Global Optimization (Dordrecht. Online)|B1|2008
1097-0118|Ciência da Computação|Journal of Graph Theory (Online)|B1|2008
0364-9024|Ciência da Computação|Journal of Graph Theory (Print)|B1|2008
1570-7873|Ciência da Computação|Journal of Grid Computing|B2|2008
1381-1231|Ciência da Computação|Journal of Heuristics|B1|2008
1572-9397|Ciência da Computação|Journal of Heuristics (Dordrecht. Online)|B1|2008
0926-6801|Ciência da Computação|Journal of High Speed Networks|B2|2008
1465-1734|Ciência da Computação|Journal of Hydroinformatics (Online)|B2|2008
1735-5702|Ciência da Computação|Journal of Industrial Engineering International|C|2008
1554-1010|Ciência da Computação|Journal of Information Assurance and Security|B2|2008
0165-5515|Ciência da Computação|Journal of Information Science|B1|2008
1016-2364|Ciência da Computação|Journal of Information Science and Engineering|B2|2008
1466-4437|Ciência da Computação|Journal of Information Technology (Online)|B1|2008
1751-1577|Ciência da Computação|Journal of Informatrics|B2|2008
1536-2310|Ciência da Computação|Journal of Integrative Biology / Omics (Larchmont)|B2|2008
1064-1246|Ciência da Computação|Journal of Intelligent & Fuzzy Systems|B2|2008
0921-0296|Ciência da Computação|Journal of Intelligent & Robotic Systems|B2|2008
1573-0409|Ciência da Computação|Journal of Intelligent & Robotic Systems (Dordrecht. Online)|B2|2008
0925-9902|Ciência da Computação|Journal of Intelligent Information Systems|B1|2008
1573-7675|Ciência da Computação|Journal of Intelligent Information Systems (Dordrecht. Online)|B1|2008
1572-8145|Ciência da Computação|Journal of Intelligent Manufacturing (Dordrecht. Online)|B1|2008
1567-8326|Ciência da Computação|Journal of Logic and Algebraic Programming|B1|2008
1465-363X|Ciência da Computação|Journal of Logic and Computation (Online)|B1|2008
0955-792X|Ciência da Computação|Journal of Logic and Computation (Print)|B1|2008
0925-8531|Ciência da Computação|Journal of Logic, Language and Information|B1|2008
0950-4230|Ciência da Computação|Journal of Loss Prevention in the Process Industries|B4|2008
1546-1998|Ciência da Computação|Journal of Low Power Electronics (Print)|C|2008
1532-4435|Ciência da Computação|Journal of Machine Learning Research|A1|2008
1533-7928|Ciência da Computação|Journal of Machine Learning Research (Online)|A1|2008
0742-1222|Ciência da Computação|Journal of Management Information Systems|A1|2008
0924-0136|Ciência da Computação|Journal of Materials Processing Technology|B2|2008
1096-0813|Ciência da Computação|Journal of Mathematical Analysis and Applications (Online)|B2|2008
0022-247X|Ciência da Computação|Journal of Mathematical Analysis and Applications (Print)|B2|2008
0303-6812|Ciência da Computação|Journal of Mathematical Biology (Print)|B3|2008
0924-9907|Ciência da Computação|Journal of Mathematical Imaging and Vision|B1|2008
1573-7683|Ciência da Computação|Journal of Mathematical Imaging and Vision (Dordrecht. Online)|B1|2008
1516-7399|Ciência da Computação|Journal of Microwaves and Optoelectronics|B2|2008
0022-2836|Ciência da Computação|Journal of Molecular Biology|B2|2008
1093-3263|Ciência da Computação|Journal of Molecular Graphics & Modelling|A1|2008
1610-2940|Ciência da Computação|Journal of Molecular Modeling|B2|2008
0948-5023|Ciência da Computação|Journal of Molecular Modeling (Online)|B2|2008
1542-3980|Ciência da Computação|Journal of Multiple-Valued Logic and Soft Computing|B2|2008
0047-259X|Ciência da Computação|Journal of Multivariate Analysis|B2|2008
1095-7243|Ciência da Computação|Journal of Multivariate Analysis (Online)|B2|2008
1084-8045|Ciência da Computação|Journal of Network and Computer Applications|A2|2008
1095-8592|Ciência da Computação|Journal of Network and Computer Applications (Online)|A2|2008
1064-7570|Ciência da Computação|Journal of Network and Systems Management|B2|2008
1796-2056|Ciência da Computação|Journal of Networks|B5|2008
0929-8215|Ciência da Computação|Journal of New Music Research|B2|2008
0377-0257|Ciência da Computação|Journal of Non-Newtonian Fluid Mechanics (Print)|B2|2008
1048-5252|Ciência da Computação|Journal of Nonparametric Statistics (Print)|B3|2008
0022-3131|Ciência da Computação|Journal of Nuclear Science and Technology|B3|2008
1660-1769|Ciência da Computação|Journal of Object Technology|B2|2008
0022-3239|Ciência da Computação|Journal of Optimization Theory and Applications|A2|2008
1573-2878|Ciência da Computação|Journal of Optimization Theory and Applications (Dordrecht. Online)|A2|2008
1532-7744|Ciência da Computação|Journal of Organizational Computing and Electronic Commerce (Online)|B2|2008
1096-0848|Ciência da Computação|Journal of Parallel and Distributed Computing (Online)|A2|2008
0743-7315|Ciência da Computação|Journal of Parallel and Distributed Computing (Print)|A2|2008
1558-884X|Ciência da Computação|Journal of Pattern Recognition Research|C|2008
0920-4105|Ciência da Computação|Journal of Petroleum Science & Engineering|B3|2008
0022-3611|Ciência da Computação|Journal of Philosophical Logic|B2|2008
1742-6596|Ciência da Computação|Journal of Physics. Conference Series (Online)|B4|2008
0022-4065|Ciência da Computação|Journal of Quality Technology|B3|2008
1443-458X|Ciência da Computação|Journal of Research and Practice in Information Technology|B2|2008
1939-8115|Ciência da Computação|Journal of Signal Processing Systems for Signal, Image, and Video Technology (Online)|B5|2008
1796-217X|Ciência da Computação|Journal of Software|B5|2008
1532-0618|Ciência da Computação|Journal of Software Maintenance and Evolution|B2|2008
1532-060X|Ciência da Computação|Journal of Software Maintenance and Evolution (Print)|B2|2008
1303-2968|Ciência da Computação|Journal of Sports Science and Medicine|B4|2008
0094-9655|Ciência da Computação|Journal of Statistical Computation and Simulation (Print)|B2|2008
1742-5468|Ciência da Computação|Journal of Statistical Mechanics|B2|2008
0378-3758|Ciência da Computação|Journal of Statistical Planning and Inference (Print)|B3|2008
1538-7887|Ciência da Computação|Journal of Statistical Theory and Applications|B4|2008
0963-8687|Ciência da Computação|Journal of Strategic Information Systems|B1|2008
0920-8542|Ciência da Computação|Journal of Supercomputing|B2|2008
0747-7171|Ciência da Computação|Journal of Symbolic Computation|B1|2008
1095-855X|Ciência da Computação|Journal of Symbolic Computation (Online)|B1|2008
1383-7621|Ciência da Computação|Journal of Systems Architecture|B2|2008
1067-5027|Ciência da Computação|Journal of the American Medical Informatics Association|A1|2008
1532-2890|Ciência da Computação|Journal of The American Society For Information Science and Technology (Online)|A2|2008
1532-2882|Ciência da Computação|Journal of the American Society for Information Science and Technology (Print)|A2|2008
0004-5411|Ciência da Computação|Journal of the Association for Computing Machinery|A1|2008
1808-3331|Ciência da Computação|Journal of the Brazilian Air Transportation Research Society|C|2008
0104-6500|Ciência da Computação|Journal of the Brazilian Computer Society (Impresso)|B2|2008
1678-4804|Ciência da Computação|Journal of The Brazilian Computer Society (Online)|B2|2008
1678-5878|Ciência da Computação|Journal of the Brazilian Society of Mechanical Sciences and Engineering (Impresso)|B4|2008
0160-5682|Ciência da Computação|Journal of the Operational Research Society|A2|2008

0740-3232|Ciência da Computação|Journal of the Optical Society of America. A, Optics and Image Science|A1|2008
1084-7529||Journal of the Optical Society of America. A, Optics, Image Science, and Vision|A1|2008

0970-1249|Ciência da Computação|Journal of the Ramanujan Mathematical Society|B3|2008
0022-5193|Ciência da Computação|Journal of Theoretical Biology|B2|2008
0948-6968|Ciência da Computação|Journal of Universal Computer Science (Online)|B2|2008
0948-695X|Ciência da Computação|Journal of Universal Computer Science (Print)|B2|2008
1047-3203|Ciência da Computação|Journal of Visual Communication and Image Representation (Print)|B1|2008
1045-926X|Ciência da Computação|Journal of Visual Languages and Computing|B2|2008
1095-8533|Ciência da Computação|Journal of Visual Languages and Computing (Online)|B2|2008
1875-8975|Ciência da Computação|Journal of Visualization (Online)|B2|2008

0922-5773|Ciência da Computação|Journal of VLSI Signal Processing|B1|2008
1387-5485||Journal of VLSI Signal Processing Systems for Signal, Image, and Video Technology (Print)|B1|2008

1540-9589|Ciência da Computação|Journal of Web Engineering|B2|2008
1861-2032|Ciência da Computação|Journal on Data Semantics (Print)|B2|2008
1983-0122|Ciência da Computação|Justributário (Fortaleza)|C|2008
0219-1377|Ciência da Computação|Knowledge and Information Systems|B1|2008
1469-8005|Ciência da Computação|Knowledge Engineering Review (Online)|B1|2008
0950-7051|Ciência da Computação|Knowledge-Based Systems|B2|2008
0368-492X|Ciência da Computação|Kybernetes|B2|2008
0023-5954|Ciência da Computação|Kybernetika (Praha)|B2|2008
1574-020X|Ciência da Computação|Language Resources and Evaluation|B4|2008
0102-1907|Ciência da Computação|Laranja|C|2008
1054-660X|Ciência da Computação|Laser Physics|B3|2008
1679-7817|Ciência da Computação|Latin American Journal of Solids and Structures (Impresso)|C|2008
1676-2789|Ciência da Computação|Learning and Nonlinear Models|B5|2008
1808-3536|Ciência da Computação|Liinc em Revista|C|2008
0024-3795|Ciência da Computação|Linear Algebra and its Applications|B2|2008
1981-6804|Ciência da Computação|Locus Científico (ANPROTEC. Online)|C|2008
1981-6790|Ciência da Computação|Locus Científico (Impresso)|C|2008
1368-9894|Ciência da Computação|Logic Journal of the IGPL (Online)|B2|2008
1367-0751|Ciência da Computação|Logic Journal of the IGPL (Print)|B2|2008
0103-7501|Ciência da Computação|Logos (Canoas)|C|2008
1573-0565|Ciência da Computação|Machine Learning (Dordrecht. Online)|A1|2008
0922-6567|Ciência da Computação|Machine Translation|B2|2008
1432-1769|Ciência da Computação|Machine Vision and Applications (Internet)|B1|2008
0276-7783|Ciência da Computação|Management Information Systems Quarterly|A1|2008
0025-1909|Ciência da Computação|Management Science|B2|2008

0101-8205|Ciência da Computação|Matemática Aplicada e Computacional|B3|2008
1807-0302||Computational & Applied Mathematics|B3|2008

0895-7177|Ciência da Computação|Mathematical and Computer Modelling|B1|2008
1387-3954|Ciência da Computação|Mathematical and Computer Modelling of Dynamical Systems|B2|2008
0170-4214|Ciência da Computação|Mathematical Methods in the Applied Sciences|B2|2008
1099-1476|Ciência da Computação|Mathematical methods in the applied sciences (Online)|B2|2008
1024-123X|Ciência da Computação|Mathematical Problems in Engineering (Print)|B4|2008
0025-5610|Ciência da Computação|Mathematical Programming|A1|2008
1469-8072|Ciência da Computação|Mathematical structures in computer science (Online)|B1|2008
0378-4754|Ciência da Computação|Mathematics and Computers in Simulation (Print)|B1|2008
0025-5718|Ciência da Computação|Mathematics of Computation|A2|2008
1088-6842|Ciência da Computação|Mathematics of computation (Online)|A2|2008
1526-5471|Ciência da Computação|Mathematics of operations research (Online)|B1|2008
0957-4158|Ciência da Computação|Mechatronics (Oxford)|B1|2008
0140-0118|Ciência da Computação|Medical & Biological Engineering & Computing|A2|2008
1350-4533|Ciência da Computação|Medical Engineering & Physics|B3|2008
1361-8415|Ciência da Computação|Medical Image Analysis (Print)|A1|2008
1464-5238|Ciência da Computação|Medical informatics and the internet in medicine (Online)|B2|2008
0074-0276|Ciência da Computação|Memórias do Instituto Oswaldo Cruz (Impresso)|B3|2008
