ISSN|area|titulo|estrato|ano
1413-6090|ECONOMIA|A Economia em Revista|B5|2008
0001-4273|ECONOMIA|Academy of Management Journal|B5|2008
1807-8621|ECONOMIA|Acta Scientiarum. Agronomy (Online)|B2|2008
0994-4524|ECONOMIA|Actuel Marx|B5|2008
0742-4477|ECONOMIA|Agribusiness (New York, N.Y. Print)|B5|2008
0169-5150|ECONOMIA|Agricultural Economics|B2|2008
1809-4058|ECONOMIA|Amazônia (Banco da Amazônia. 2005)|B5|2008
1980-5128|ECONOMIA|Amazônia (UFPA. 2004)|C|2008
1518-0360|ECONOMIA|Âmbito Jurídico|C|2008
1405-2253|ECONOMIA|America Latina en la Historía Económica|B2|2008
0002-9092|ECONOMIA|American Journal of Agricultural Economics|B1|2008
1600-6135|ECONOMIA|American Journal of Transplantation (Print)|A1|2008
1516-2680|ECONOMIA|Análise (PUCRS)|B5|2008
0102-9924|ECONOMIA|Análise Econômica (UFRGS)|B3|2008
0254-5330|ECONOMIA|Annals of Operation Research|B2|2008
0160-7383|ECONOMIA|Annals of Tourism Research|B5|2008
0003-6846|ECONOMIA|Applied Economics (Print)|B1|2008
1350-4851|ECONOMIA|Applied Economics Letters (Print)|B2|2008
0960-3107|ECONOMIA|Applied Financial Economics (Print)|B5|2008
1744-6546|ECONOMIA|Applied Financial Economics Letters (Print)|B5|2008
0066-5452|ECONOMIA|Applied Mathematical Sciences|C|2008
0102-0935|ECONOMIA|Arquivo Brasileiro de Medicina Veterinária e Zootecnia|B5|2008
0066-782X|ECONOMIA|Arquivos Brasileiros de Cardiologia (Impresso)|B5|2008
0004-8216|ECONOMIA|Aussenwirtschaft|B2|2008
1364-985X|ECONOMIA|Australian Journal of Agricultural and Resource Economics (Print)|B3|2008
0103-8117|ECONOMIA|Bahia Analise & Dados|B5|2008
1807-7692|ECONOMIA|BAR. Brazilian Administration Review|B3|2008
1807-734X|ECONOMIA|BBR. Brazilian Business Review (Edição em português. Online)|B5|2008
1980-2447|ECONOMIA|Brazilian Review of Econometrics|B2|2008
0007-1080|ECONOMIA|British Journal of Industrial Relations (Print)|B3|2008
0007-2303|ECONOMIA|Brookings Papers on Economic Activity (Print)|A2|2008
0007-4918|ECONOMIA|Bulletin of Indonesian Economic Studies|B4|2008
1415-3939|ECONOMIA|Cadernos de Economia (UNOESC. Impresso)|C|2008
0102-311X|ECONOMIA|Cadernos de Saúde Pública (ENSP. Impresso)|B2|2008
0102-9711|ECONOMIA|Cadernos do CEAS|B4|2008
1679-3951|ECONOMIA|Cadernos EBAPE.BR (FGV)|C|2008
1676-6288|ECONOMIA|Cadernos PROLAM/USP|B5|2008
0309-166X|ECONOMIA|Cambridge Journal of Economics|A1|2008
0008-4085|ECONOMIA|Canadian Journal of Economics|A2|2008
0309-8168|ECONOMIA|Capital & Class|B3|2008
1980-5144|ECONOMIA|Carta Social e do Trabalho|C|2008
0263-6484|ECONOMIA|Cell Biochemistry and Function|B2|2008
0104-7760|ECONOMIA|CERNE (UFLA)|C|2008
0960-0779|ECONOMIA|Chaos, Solitons and Fractals|B1|2008
1043-951X|ECONOMIA|China Economic Review|B4|2008
0327-4063|ECONOMIA|Ciclos en la Historia, la Economía y la Sociedad|B5|2008
1413-7054|ECONOMIA|Ciência e Agrotecnologia (UFLA)|B2|2008
0103-8478|ECONOMIA|Ciência Rural (UFSM. Impresso)|B3|2008
0009-8558|ECONOMIA|Clay Minerals (Print)|C|2008
0185-0601|ECONOMIA|Comercio Exterior (Ed. español. Impresa)|B5|2008
0361-0918|ECONOMIA|Communications in Statistics. Simulation and Computation|B3|2008
0361-0926|ECONOMIA|Communications in Statistics. Theory and Methods|B3|2008
0010-4140|ECONOMIA|Comparative Political Studies|B1|2008
0167-9473|ECONOMIA|Computational Statistics & Data Analysis (Print)|B1|2008
1992-4801|ECONOMIA|Comuniica (Ed. española. Impresa)|C|2008
1958-9212|ECONOMIA|Confins (Paris)|B2|2008
1984-3925|ECONOMIA|Contabilidade, Gestão e Governança|B4|2008
1074-3529|ECONOMIA|Contemporary Economic Policy|B2|2008
0277-5921|ECONOMIA|Contributions to Political Economy|B5|2008
0120-7180|ECONOMIA|Cooperativismo y Desarrollo|C|2008
1727-9232|ECONOMIA|Corporate Ownership & Control (Print)|C|2008
0327-5345|ECONOMIA|Costos y Gestión|B5|2008
1678-1821|ECONOMIA|Desafio (Campo Grande)|C|2008
1518-952X|ECONOMIA|Desenvolvimento e Meio Ambiente (UFPR)|B5|2008
1678-4855|ECONOMIA|Desenvolvimento em Questão|C|2008
0012-1533|ECONOMIA|Developing Economies|B3|2008
1011-6370|ECONOMIA|Development (Rome)|B5|2008
0012-155X|ECONOMIA|Development and Change (Print)|B3|2008
0094-5056|ECONOMIA|Eastern Economic Journal|B4|2008
0012-8775|ECONOMIA|Eastern European Economics|B4|2008
0921-8009|ECONOMIA|Ecological Economics (Amsterdam)|B1|2008
0304-3800|ECONOMIA|Ecological Modelling|B2|2008
0747-4938|ECONOMIA|Econometric Reviews|B2|2008
0012-9682|ECONOMIA|Econometrica (Chicago)|A1|2008
1415-451X|ECONOMIA|Economia & Tecnologia (Campinas)|B5|2008
1809-080X|ECONOMIA|Economia & Tecnologia (UFPR)|B5|2008
1517-7580|ECONOMIA|Economia (Brasília)|B2|2008
0870-3531|ECONOMIA|Economia (Lisboa)|B4|2008
1529-7470|ECONOMIA|Economía (Washington, D.C.)|B3|2008
1413-8050|ECONOMIA|Economia Aplicada (Impresso)|B2|2008
1517-9354|ECONOMIA|Economia e Desenvolvimento (Recife)|B5|2008
1414-6509|ECONOMIA|Economia e Desenvolvimento (Santa Maria)|B5|2008
0104-0618|ECONOMIA|Economia e Sociedade (UNICAMP. Impresso)|B2|2008
0102-2482|ECONOMIA|Economia Ensaios (UFU. Impresso)|B5|2008
0873-7444|ECONOMIA|Economia Global e Gestão|B5|2008
0185-0849|ECONOMIA|Economía Informa|B5|2008
1120-9593|ECONOMIA|Economia Marche (Periodico)|B5|2008
1984-0756|ECONOMIA|Economia Política do Desenvolvimento|C|2008
1405-8421|ECONOMIA|Economía, Sociedad y Territorio|B2|2008
0265-0665|ECONOMIA|Economic Affairs (Harlow. Print)|B5|2008
1573-9414|ECONOMIA|Economic Change and Restructuring (Print)|B4|2008
0013-0079|ECONOMIA|Economic Development and Cultural Change|B2|2008
0891-2424|ECONOMIA|Economic Development Quarterly|B4|2008
0013-0117|ECONOMIA|Economic History Review|B2|2008
0095-2583|ECONOMIA|Economic Inquiry|A2|2008
0858-7329|ECONOMIA|Economic Journal|B5|2008
0264-9993|ECONOMIA|Economic Modelling|B3|2008
0013-0249|ECONOMIA|Economic Record|B3|2008
0939-3625|ECONOMIA|Economic Systems|B1|2008
0953-5314|ECONOMIA|Economic Systems Research (Print)|B4|2008
0938-2259|ECONOMIA|Economic Theory|A1|2008
0013-0419|ECONOMIA|Económica (La Plata)|B4|2008
0013-0427|ECONOMIA|Economica (London. Print)|B1|2008
1517-1302|ECONOMIA|Econômica (Niterói)|B4|2008
1570-677X|ECONOMIA|Economics and Human Biology|B4|2008
0266-2671|ECONOMIA|Economics and Philosophy|B1|2008
0954-1985|ECONOMIA|Economics and Politics (Print)|B3|2008
0165-1765|ECONOMIA|Economics Letters|A2|2008
0272-7757|ECONOMIA|Economics of Education Review|B1|2008
1043-8599|ECONOMIA|Economics of Innovation and New Technology|B1|2008
0013-0494|ECONOMIA|Economie Appliquée|B2|2008
0013-063X|ECONOMIA|Economist (Amsterdam)|B4|2008
0308-5147|ECONOMIA|Economy and Society (Print)|B1|2008
0013-3035|ECONOMIA|Ekonomicky Casopis / Journal of Economics|B2|2008
1980-4245|ECONOMIA|El Periplo Sustentable|B3|2008
1566-0141|ECONOMIA|Emerging Markets Review|B2|2008
0377-7332|ECONOMIA|Empirical Economics|B3|2008
0140-9883|ECONOMIA|Energy Economics|B3|2008
0301-4215|ECONOMIA|Energy Policy|B3|2008
0101-1723|ECONOMIA|Ensaios FEE (Impresso)|B4|2008
1355-770X|ECONOMIA|Environment and Development Economics (Print)|B1|2008
1518-2487|ECONOMIA|Eptic (UFS)|B5|2008
1669-4031|ECONOMIA|Equipo Federal del Trabajo|B4|2008
1413-4128|ECONOMIA|Estudos do CEPE (UNISC)|B5|2008
0101-4161|ECONOMIA|Estudos Econômicos (São Paulo. Impresso)|B2|2008
1414-4344|ECONOMIA|Estudos Econômicos da Construção|B5|2008
1413-0580|ECONOMIA|Estudos Sociedade e Agricultura (UFRJ)|B2|2008
0014-2921|ECONOMIA|European Economic Review|A1|2008
0965-4313|ECONOMIA|European Planning Studies (Print)|B2|2008
0165-1587|ECONOMIA|European Review of Agricultural Economics|B3|2008
0295-5075|ECONOMIA|Europhysics Letters (Print)|B1|2008
1349-4961|ECONOMIA|Evolutionary and Institutional Economics Review (Tokyo)|B3|2008
0014-4983|ECONOMIA|Explorations in Economic History (Print)|B1|2008
1413-6619|ECONOMIA|Forum (São Paulo. 1996)|C|2008
0899-8256|ECONOMIA|Games and Economic Behavior (Print)|A1|2008
1517-9699|ECONOMIA|Gênero (Niterói)|B5|2008
1981-9021|ECONOMIA|Geo UERJ (2007)|C|2008
0016-7363|ECONOMIA|Geographical Analysis|B4|2008
1518-6059|ECONOMIA|Geonordeste (UFS)|B4|2008
0104-530X|ECONOMIA|Gestão & Produção (UFSCAR. Impresso)|B4|2008
1679-1827|ECONOMIA|Gestão.Org|C|2008
1569-755X|ECONOMIA|Global Trade and Customs Journal (Print)|B5|2008
0017-4815|ECONOMIA|Growth and Change|B4|2008
1057-9230|ECONOMIA|Health Economics (Print)|B1|2008
1808-5318|ECONOMIA|História e Economia|B5|2008
1519-3314|ECONOMIA|História Econômica & História de Empresas|B4|2008
1122-8792|ECONOMIA|History of Economic Ideas (Testo Stampato)|B1|2008
0018-2702|ECONOMIA|History of Political Economy|A1|2008
0018-280X|ECONOMIA|Hitotsubashi Journal of Economics|B4|2008
1020-7635|ECONOMIA|IMF Staff Papers (Print)|B1|2008
0103-3905|ECONOMIA|Indicadores Econômicos FEE (Impresso)|B5|2008
0019-7939|ECONOMIA|Industrial & Labor Relations Review|B1|2008
0960-6491|ECONOMIA|Industrial and Corporate Change|A2|2008
0019-8692|ECONOMIA|Industrial Relations Journal (London. Print)|B1|2008
0167-6245|ECONOMIA|Information Economics and Policy|B4|2008
1447-9338|ECONOMIA|Innovation (North Sydney)|B4|2008
1027-5703|ECONOMIA|Integration & Trade|B2|2008
0020-6598|ECONOMIA|International Economic Review (Philadelphia)|A1|2008
1470-9511|ECONOMIA|International Journal of Automotive Technology and Management|B4|2008
1742-7355|ECONOMIA|International Journal of Economic Theory (Print)|B4|2008
1076-9307|ECONOMIA|International Journal of Finance and Economics (Print)|B2|2008
0169-2070|ECONOMIA|International Journal of Forecasting|B2|2008
0020-7276|ECONOMIA|International Journal of Game Theory (Print)|A2|2008
0954-7118|ECONOMIA|International Journal of Global Energy Issues|B3|2008
1466-6650|ECONOMIA|International Journal of Global Environmental Issues|B2|2008
0167-7187|ECONOMIA|International Journal of Industrial Organization|A2|2008
0891-1916|ECONOMIA|International Journal of Political Economy|B3|2008
0925-5273|ECONOMIA|International Journal of Production Economics|A2|2008
0306-8293|ECONOMIA|International Journal of Social Economics|B1|2008
1476-5667|ECONOMIA|International Journal of Technology and Globalisation (Print)|B5|2008
1474-2748|ECONOMIA|International Journal of Technology Management & Sustainable Development|B4|2008
0219-0249|ECONOMIA|International Journal of Theoretical and Applied Finance|B3|2008
0160-0176|ECONOMIA|International Regional Science Review|B3|2008
0144-8188|ECONOMIA|International Review of Law and Economics|B3|2008
0969-6016|ECONOMIA|International Transactions in Operational Research|B4|2008
1679-9844|ECONOMIA|InterScience Place|B5|2008
0185-1667|ECONOMIA|Investigación Económica - Facultad de Economía de la Universidad Nacional Autónoma de México|B2|2008
1695-7253|ECONOMIA|Investigaciones Regionales|B4|2008
1126-8042|ECONOMIA|Italian journal of pure and applied mathematics|B5|2008
0021-4027|ECONOMIA|Jahrbucher fur Nationalokonomie und Statistik|B3|2008
0922-1425|ECONOMIA|Japan and the World Economy|B2|2008
0926-9959|ECONOMIA|JEADV. Journal of the European Academy of Dermatology and Venereology|B2|2008
0932-4569|ECONOMIA|JITE. Journal of Institutional and Theoretical Economics|B3|2008
1542-8710|ECONOMIA|Journal of Academy of Business and Economics|B3|2008
0021-857X|ECONOMIA|Journal of Agricultural Economics|B2|2008
0883-7252|ECONOMIA|Journal of Applied Econometrics (Chichester, England)|A2|2008
0378-4266|ECONOMIA|Journal of Banking & Finance (Print)|A2|2008
0735-0015|ECONOMIA|Journal of Business & Economic Statistics|A1|2008
0021-9487|ECONOMIA|Journal of Canadian Petroleum Technology|B1|2008
0021-9886|ECONOMIA|Journal of Common Market Studies (Print)|B3|2008
